user_id,positive_video_id,category_id,random_negative,popular_negative,same_category_negative,in_batch_negative_note
u_0033,v_00142,c_11,v_00190,v_00068,v_00162,other items in the same mini-batch can be reused as negatives
u_0071,v_00059,c_06,v_00108,v_00068,v_00118,other items in the same mini-batch can be reused as negatives
u_0061,v_00207,c_12,v_00096,v_00068,v_00004,other items in the same mini-batch can be reused as negatives
u_0062,v_00055,c_05,v_00200,v_00068,v_00184,other items in the same mini-batch can be reused as negatives
u_0011,v_00218,c_04,v_00169,v_00068,v_00065,other items in the same mini-batch can be reused as negatives
u_0021,v_00205,c_11,v_00087,v_00068,v_00133,other items in the same mini-batch can be reused as negatives
u_0041,v_00112,c_12,v_00024,v_00068,v_00180,other items in the same mini-batch can be reused as negatives
u_0066,v_00170,c_04,v_00192,v_00068,v_00061,other items in the same mini-batch can be reused as negatives
u_0065,v_00110,c_04,v_00107,v_00068,v_00162,other items in the same mini-batch can be reused as negatives
u_0063,v_00161,c_09,v_00009,v_00068,v_00024,other items in the same mini-batch can be reused as negatives
u_0059,v_00070,c_12,v_00131,v_00068,v_00122,other items in the same mini-batch can be reused as negatives
u_0030,v_00173,c_01,v_00153,v_00068,v_00233,other items in the same mini-batch can be reused as negatives
u_0029,v_00216,c_05,v_00035,v_00068,v_00112,other items in the same mini-batch can be reused as negatives
u_0062,v_00121,c_03,v_00204,v_00068,v_00142,other items in the same mini-batch can be reused as negatives
u_0017,v_00129,c_01,v_00173,v_00068,v_00121,other items in the same mini-batch can be reused as negatives
u_0013,v_00195,c_01,v_00050,v_00068,v_00187,other items in the same mini-batch can be reused as negatives
u_0049,v_00211,c_06,v_00201,v_00068,v_00051,other items in the same mini-batch can be reused as negatives
u_0028,v_00165,c_10,v_00211,v_00068,v_00107,other items in the same mini-batch can be reused as negatives
u_0019,v_00034,c_06,v_00064,v_00068,v_00091,other items in the same mini-batch can be reused as negatives
u_0011,v_00083,c_06,v_00167,v_00068,v_00073,other items in the same mini-batch can be reused as negatives
u_0080,v_00158,c_01,v_00047,v_00068,v_00173,other items in the same mini-batch can be reused as negatives
u_0019,v_00190,c_06,v_00054,v_00068,v_00043,other items in the same mini-batch can be reused as negatives
u_0018,v_00196,c_07,v_00120,v_00068,v_00126,other items in the same mini-batch can be reused as negatives
u_0072,v_00214,c_08,v_00082,v_00068,v_00088,other items in the same mini-batch can be reused as negatives
u_0032,v_00112,c_06,v_00153,v_00068,v_00104,other items in the same mini-batch can be reused as negatives
u_0065,v_00019,c_02,v_00170,v_00068,v_00084,other items in the same mini-batch can be reused as negatives
u_0078,v_00122,c_12,v_00223,v_00068,v_00108,other items in the same mini-batch can be reused as negatives
u_0015,v_00215,c_05,v_00223,v_00068,v_00211,other items in the same mini-batch can be reused as negatives
u_0062,v_00162,c_04,v_00028,v_00068,v_00218,other items in the same mini-batch can be reused as negatives
u_0025,v_00074,c_07,v_00022,v_00068,v_00100,other items in the same mini-batch can be reused as negatives
u_0037,v_00178,c_08,v_00053,v_00068,v_00170,other items in the same mini-batch can be reused as negatives
u_0074,v_00185,c_08,v_00122,v_00068,v_00035,other items in the same mini-batch can be reused as negatives
u_0066,v_00103,c_08,v_00061,v_00068,v_00170,other items in the same mini-batch can be reused as negatives
u_0013,v_00106,c_03,v_00201,v_00068,v_00082,other items in the same mini-batch can be reused as negatives
u_0065,v_00120,c_12,v_00058,v_00068,v_00089,other items in the same mini-batch can be reused as negatives
u_0066,v_00084,c_01,v_00052,v_00068,v_00122,other items in the same mini-batch can be reused as negatives
u_0047,v_00178,c_12,v_00038,v_00068,v_00009,other items in the same mini-batch can be reused as negatives
u_0054,v_00158,c_12,v_00064,v_00068,v_00207,other items in the same mini-batch can be reused as negatives
u_0035,v_00097,c_12,v_00055,v_00068,v_00129,other items in the same mini-batch can be reused as negatives
u_0006,v_00145,c_07,v_00050,v_00068,v_00228,other items in the same mini-batch can be reused as negatives
u_0003,v_00002,c_01,v_00184,v_00068,v_00057,other items in the same mini-batch can be reused as negatives
u_0040,v_00114,c_09,v_00187,v_00068,v_00169,other items in the same mini-batch can be reused as negatives
u_0070,v_00047,c_08,v_00135,v_00068,v_00021,other items in the same mini-batch can be reused as negatives
u_0022,v_00239,c_04,v_00094,v_00068,v_00195,other items in the same mini-batch can be reused as negatives
u_0024,v_00164,c_07,v_00098,v_00068,v_00196,other items in the same mini-batch can be reused as negatives
u_0024,v_00094,c_06,v_00161,v_00068,v_00111,other items in the same mini-batch can be reused as negatives
u_0076,v_00022,c_03,v_00014,v_00068,v_00048,other items in the same mini-batch can be reused as negatives
u_0058,v_00068,c_04,v_00035,v_00068,v_00048,other items in the same mini-batch can be reused as negatives
u_0012,v_00230,c_06,v_00056,v_00068,v_00115,other items in the same mini-batch can be reused as negatives
u_0056,v_00187,c_01,v_00100,v_00068,v_00088,other items in the same mini-batch can be reused as negatives
u_0016,v_00004,c_12,v_00174,v_00068,v_00202,other items in the same mini-batch can be reused as negatives
u_0006,v_00121,c_12,v_00183,v_00068,v_00097,other items in the same mini-batch can be reused as negatives
u_0040,v_00119,c_12,v_00087,v_00068,v_00052,other items in the same mini-batch can be reused as negatives
u_0060,v_00027,c_07,v_00125,v_00068,v_00043,other items in the same mini-batch can be reused as negatives
u_0075,v_00151,c_08,v_00064,v_00068,v_00104,other items in the same mini-batch can be reused as negatives
u_0062,v_00016,c_04,v_00053,v_00068,v_00072,other items in the same mini-batch can be reused as negatives
u_0043,v_00235,c_01,v_00101,v_00068,v_00126,other items in the same mini-batch can be reused as negatives
u_0076,v_00026,c_08,v_00155,v_00068,v_00014,other items in the same mini-batch can be reused as negatives
u_0002,v_00068,c_01,v_00179,v_00068,v_00057,other items in the same mini-batch can be reused as negatives
u_0078,v_00228,c_09,v_00039,v_00068,v_00145,other items in the same mini-batch can be reused as negatives
u_0008,v_00039,c_10,v_00135,v_00068,v_00237,other items in the same mini-batch can be reused as negatives
u_0076,v_00134,c_02,v_00093,v_00068,v_00053,other items in the same mini-batch can be reused as negatives
u_0017,v_00166,c_12,v_00110,v_00068,v_00120,other items in the same mini-batch can be reused as negatives
u_0011,v_00125,c_04,v_00057,v_00068,v_00048,other items in the same mini-batch can be reused as negatives
u_0050,v_00129,c_12,v_00179,v_00068,v_00009,other items in the same mini-batch can be reused as negatives
u_0063,v_00029,c_09,v_00050,v_00068,v_00143,other items in the same mini-batch can be reused as negatives
u_0067,v_00134,c_11,v_00170,v_00068,v_00219,other items in the same mini-batch can be reused as negatives
u_0005,v_00143,c_09,v_00048,v_00068,v_00108,other items in the same mini-batch can be reused as negatives
u_0059,v_00169,c_09,v_00104,v_00068,v_00114,other items in the same mini-batch can be reused as negatives
u_0070,v_00178,c_11,v_00174,v_00068,v_00219,other items in the same mini-batch can be reused as negatives
u_0008,v_00052,c_12,v_00080,v_00068,v_00020,other items in the same mini-batch can be reused as negatives
u_0070,v_00009,c_12,v_00126,v_00068,v_00180,other items in the same mini-batch can be reused as negatives
u_0010,v_00048,c_03,v_00058,v_00068,v_00151,other items in the same mini-batch can be reused as negatives
u_0004,v_00118,c_02,v_00076,v_00068,v_00092,other items in the same mini-batch can be reused as negatives
u_0051,v_00211,c_05,v_00237,v_00068,v_00068,other items in the same mini-batch can be reused as negatives
u_0048,v_00003,c_09,v_00091,v_00068,v_00072,other items in the same mini-batch can be reused as negatives
u_0073,v_00094,c_12,v_00129,v_00068,v_00129,other items in the same mini-batch can be reused as negatives
u_0044,v_00237,c_04,v_00085,v_00068,v_00108,other items in the same mini-batch can be reused as negatives
u_0067,v_00074,c_08,v_00236,v_00068,v_00104,other items in the same mini-batch can be reused as negatives
u_0046,v_00040,c_09,v_00141,v_00068,v_00123,other items in the same mini-batch can be reused as negatives
